PID,B(Lat),L(Long),H,Bx,Ly,ReF,MCODE1,MCODE2,MCODE3
10001,0,0,2.766,-232.196,284.493,0,0,0,0
10002,0,0,2.819,-231.363,282.424,0,0,0,0
10003,0,0,2.881,-230.244,279.649,0,0,0,0
10004,0,0,2.88,-228.945,276.945,0,0,0,0
10005,0,0,2.875,-227.65,274.251,0,0,0,0
10006,0,0,2.423,-226.062,271.037,0,0,0,0
10007,0,0,2.423,-224.743,268.365,0,0,0,0
10008,0,0,2.423,-223.105,265.317,0,0,0,0
10009,0,0,2.423,-221.692,262.696,0,0,0,0
10010,0,0,2.423,-220.689,260.834,0,0,0,0
10011,0,0,2.404,-219.27,258.202,0,0,0,0
10012,0,0,2.374,-217.709,255.367,0,0,0,0
10013,0,0,2.36,-216.261,252.735,0,0,0,0
10014,0,0,2.335,-215.455,251.394,0,0,0,0
10015,0,0,2.31,-214.82,250.316,0,0,0,0
10016,0,0,2.293,-213.905,248.687,0,0,0,0
10017,0,0,2.282,-213.405,247.81,0,0,0,0
10018,0,0,2.271,-212.905,246.933,0,0,0,0
10019,0,0,2.26,-212.405,246.056,0,0,0,0
10020,0,0,2.25,-211.905,245.18,0,0,0,0
10021,0,0,2.239,-211.405,244.303,0,0,0,0
10022,0,0,2.228,-210.906,243.426,0,0,0,0
10023,0,0,2.218,-210.406,242.549,0,0,0,0
10024,0,0,2.207,-209.906,241.673,0,0,0,0
10025,0,0,2.196,-209.406,240.796,0,0,0,0
10026,0,0,2.185,-208.906,239.919,0,0,0,0
10027,0,0,2.175,-208.406,239.043,0,0,0,0
10028,0,0,2.164,-207.907,238.166,0,0,0,0
10029,0,0,2.153,-207.407,237.289,0,0,0,0
10030,0,0,2.143,-206.907,236.412,0,0,0,0
10031,0,0,2.132,-206.407,235.536,0,0,0,0
10032,0,0,2.121,-205.907,234.659,0,0,0,0
10033,0,0,2.11,-205.408,233.782,0,0,0,0
10034,0,0,2.1,-204.908,232.905,0,0,0,0
10035,0,0,2.089,-204.408,232.029,0,0,0,0
10036,0,0,2.078,-203.908,231.152,0,0,0,0
10037,0,0,2.068,-203.408,230.275,0,0,0,0
10038,0,0,2.057,-202.908,229.399,0,0,0,0
10039,0,0,2.046,-202.409,228.522,0,0,0,0
10040,0,0,2.035,-201.909,227.645,0,0,0,0
10041,0,0,2.025,-201.409,226.768,0,0,0,0
10042,0,0,2.014,-200.909,225.892,0,0,0,0
10043,0,0,2.003,-200.409,225.015,0,0,0,0
10044,0,0,1.993,-199.91,224.138,0,0,0,0
10045,0,0,1.982,-199.41,223.261,0,0,0,0
10046,0,0,1.971,-198.91,222.385,0,0,0,0
10047,0,0,1.96,-198.41,221.508,0,0,0,0
10048,0,0,1.95,-197.91,220.631,0,0,0,0
10049,0,0,1.939,-197.41,219.755,0,0,0,0
10050,0,0,1.928,-196.911,218.878,0,0,0,0
10051,0,0,1.918,-196.411,218.001,0,0,0,0
10052,0,0,1.907,-195.911,217.124,0,0,0,0
10053,0,0,1.896,-195.411,216.248,0,0,0,0
10054,0,0,1.885,-194.911,215.371,0,0,0,0
10055,0,0,1.875,-194.411,214.494,0,0,0,0
10056,0,0,1.864,-193.912,213.617,0,0,0,0
10057,0,0,1.853,-193.412,212.741,0,0,0,0
10058,0,0,1.843,-192.912,211.864,0,0,0,0
10059,0,0,1.832,-192.412,210.987,0,0,0,0
10060,0,0,1.821,-191.912,210.111,0,0,0,0
10061,0,0,1.81,-191.413,209.234,0,0,0,0
10062,0,0,1.8,-190.913,208.357,0,0,0,0
10063,0,0,1.789,-190.413,207.48,0,0,0,0
10064,0,0,1.778,-189.913,206.604,0,0,0,0
10065,0,0,1.768,-189.413,205.727,0,0,0,0
10066,0,0,1.757,-188.913,204.85,0,0,0,0
10067,0,0,1.746,-188.414,203.973,0,0,0,0
10068,0,0,1.735,-187.914,203.097,0,0,0,0
10069,0,0,1.725,-187.414,202.22,0,0,0,0
10070,0,0,1.714,-186.914,201.343,0,0,0,0
10071,0,0,1.703,-186.414,200.467,0,0,0,0
10072,0,0,1.693,-185.915,199.59,0,0,0,0
10073,0,0,1.682,-185.415,198.713,0,0,0,0
10074,0,0,1.671,-184.915,197.836,0,0,0,0
10075,0,0,1.66,-184.415,196.96,0,0,0,0
10076,0,0,1.65,-183.915,196.083,0,0,0,0
10077,0,0,1.639,-183.415,195.206,0,0,0,0
10078,0,0,1.628,-182.916,194.329,0,0,0,0
10079,0,0,1.617,-182.416,193.453,0,0,0,0
10080,0,0,1.607,-181.916,192.576,0,0,0,0
10081,0,0,1.596,-181.416,191.699,0,0,0,0
10082,0,0,1.585,-180.916,190.823,0,0,0,0
10083,0,0,1.575,-180.416,189.946,0,0,0,0
10084,0,0,1.564,-179.917,189.069,0,0,0,0
10085,0,0,1.553,-179.417,188.192,0,0,0,0
10086,0,0,1.543,-178.917,187.316,0,0,0,0
10087,0,0,1.532,-178.417,186.439,0,0,0,0
10088,0,0,1.521,-177.917,185.562,0,0,0,0
10089,0,0,1.51,-177.418,184.685,0,0,0,0
10090,0,0,1.5,-176.918,183.809,0,0,0,0
10091,0,0,1.489,-176.418,182.932,0,0,0,0
10092,0,0,1.478,-175.918,182.055,0,0,0,0
10093,0,0,1.468,-175.418,181.179,0,0,0,0
10094,0,0,1.457,-174.918,180.302,0,0,0,0
10095,0,0,1.446,-174.419,179.425,0,0,0,0
10096,0,0,1.435,-173.919,178.548,0,0,0,0
10097,0,0,1.425,-173.419,177.672,0,0,0,0
10098,0,0,1.414,-172.919,176.795,0,0,0,0
10099,0,0,1.403,-172.419,175.918,0,0,0,0
10100,0,0,1.393,-171.92,175.042,0,0,0,0
10101,0,0,1.391,-171.04,173.706,0,0,0,0
10102,0,0,1.381,-170.081,172.426,0,0,0,0
10103,0,0,1.363,-169.009,171.239,0,0,0,0
10104,0,0,1.351,-167.8,170.193,0,0,0,0
10105,0,0,1.354,-166.446,169.344,0,0,0,0
10106,0,0,1.291,-164.964,168.746,0,0,0,0
10107,0,0,1.354,-163.4,168.42,0,0,0,0
10108,0,0,1.263,-161.803,168.372,0,0,0,0
10109,0,0,1.263,-160.221,168.6,0,0,0,0
10110,0,0,1.263,-158.702,169.096,0,0,0,0
10111,0,0,1.24,-157.04,169.959,0,0,0,0
10112,0,0,1.238,-156.163,170.444,0,0,0,0
10113,0,0,1.234,-155.286,170.929,0,0,0,0
10114,0,0,1.23,-154.41,171.414,0,0,0,0
10115,0,0,1.226,-153.533,171.899,0,0,0,0
10116,0,0,1.222,-152.657,172.384,0,0,0,0
10117,0,0,1.219,-151.78,172.869,0,0,0,0
10118,0,0,1.215,-150.904,173.353,0,0,0,0
10119,0,0,1.211,-150.027,173.839,0,0,0,0
10120,0,0,1.207,-149.151,174.323,0,0,0,0
10121,0,0,1.204,-148.274,174.809,0,0,0,0
10122,0,0,1.2,-147.398,175.294,0,0,0,0
10123,0,0,1.196,-146.521,175.779,0,0,0,0
10124,0,0,1.192,-145.645,176.264,0,0,0,0
10125,0,0,1.188,-144.768,176.749,0,0,0,0
10126,0,0,1.185,-143.892,177.234,0,0,0,0
10127,0,0,1.181,-143.015,177.719,0,0,0,0
10128,0,0,1.177,-142.139,178.204,0,0,0,0
10129,0,0,1.173,-141.262,178.689,0,0,0,0
10130,0,0,1.17,-140.386,179.174,0,0,0,0
10131,0,0,1.113,-139.343,179.788,0,0,0,0
10132,0,0,1.114,-138.24,180.319,0,0,0,0
10133,0,0,1.117,-137.134,180.862,0,0,0,0
10134,0,0,1.111,-136.033,181.3,0,0,0,0
10135,0,0,1.089,-134.924,181.731,0,0,0,0
10136,0,0,1.084,-133.781,182.087,0,0,0,0
10137,0,0,1.079,-132.55,182.392,0,0,0,0
10138,0,0,1.042,-131.307,182.617,0,0,0,0
10139,0,0,1.093,-130.038,182.787,0,0,0,0
10140,0,0,1.039,-128.776,182.807,0,0,0,0
10141,0,0,1.07,-127.436,182.721,0,0,0,0
10142,0,0,1.018,-126.185,182.516,0,0,0,0
10143,0,0,1.014,-124.902,182.177,0,0,0,0
10144,0,0,1.002,-123.691,181.739,0,0,0,0
10145,0,0,0.946,-122.531,181.176,0,0,0,0
10146,0,0,0.978,-121.462,180.508,0,0,0,0
10147,0,0,0.939,-120.448,179.769,0,0,0,0
10148,0,0,0.934,-119.391,178.919,0,0,0,0
10149,0,0,0.907,-118.453,177.974,0,0,0,0
10150,0,0,0.883,-117.541,176.995,0,0,0,0
